180,70
181,70
182,70
183,70
184,70
185,70
186,70
187,70
188,70
189,70
190,70
191,70
192,70
193,70
194,70
195,71
196,72
197,73
198,74
199,75
200,76
201,77
202,78
203,79
204,80
205,81
206,82
207,83
208,84
208,85
208,86
208,87
208,88
207,89
206,89
205,89
204,89
203,89
202,89
201,89
200,89
199,89
198,89
197,89
196,89
195,89
194,89
193,89
192,89
191,89
190,89
189,89
188,89
187,89
186,89
185,89
184,89
183,89
182,89
181,89
180,89
179,89
178,90
177,91
176,92
175,93
174,94
173,95
172,96
171,97
170,98
169,99
168,100
167,100
166,100
165,100
164,100
163,100
162,100
161,100
160,100
159,100
158,100
157,100
156,100
155,100
154,100
153,100
152,100
151,100
150,100
